Michal Martikán,vodný slalom
Slavomír Kňazovický,kanoistika
Jozef Gönci,športová streľba
Peter a Pavol Hochschornerovci,vodný slalom
Martina Moravcová,plávanie
Martina Moravcová,plávanie
Michal Martikán,vodný slalom
Juraj Minčík,vodný slalom
Peter a Pavol Hochschornerovci,vodný slalom
Elena Kaliská,vodný slalom
Michal Martikán,vodný slalom
Jozef Krnáč,džudo
Jozef Gönci,športová streľba
"Juraj Bača, Michal Riszdorfer, Richard Riszdorfer, Erik Vlček",kanoistika
Peter a Pavol Hochschornerovci,vodný slalom
Michal Martikán,vodný slalom
Elena Kaliská,vodný slalom
Zuzana Štefečeková,športová streľba
"Michal Riszdorfer, Richard Riszdorfer, Erik Vlček, Juraj Tarr",kanoistika
David Musuľbes,zápasenie
Zuzana Štefečeková,športová streľba
Peter a Pavol Hochschornerovci,vodný slalom
Michal Martikán,vodný slalom
Danka Barteková,športová streľba
Matej Tóth,chôdza na 50 km
Ladislav a Peter Škantárovci,vodný slalom
Matej Beňuš,vodný slalom
"Erik Vlček, Juraj Tarr, Denis Myšák, Tibor Linka",kanoistika
Zuzana Rehák-Štefečeková,športová streľba
Jakub Grigar,vodný slalom
Rory Sabbatini,golf
"Samuel Baláž, Denis Myšák, Erik Vlček, Adam Botek",kanoistika
Radoslav Židek,snoubording
Anastasia Kuzminová,biatlon
Anastasia Kuzminová,biatlon
Pavol Hurajt,biatlon
Anastasia Kuzminová,biatlon
Anastasia Kuzminová,biatlon
Anastasia Kuzminová,biatlon
Anastasia Kuzminová,biatlon
Petra Vlhová,alpské lyžovanie
Slovenské národné hokejové mužstvo,hokej
